supplier,description,award_amount
Cigna International Health Services,Medical Benefits Plan for Country office,222000000.0
Restaurant Associates LLC,Food & Catering and Conference & Hoteling,216000000.0
GBT US LLC,Travel Management Services at HQ,52700000.0
SilverScript Insurance Company,PHARMACY BENEFIT ADMINISTRATION,52000000.0
HCL America Inc.,Global IT Support Services,24376920.25
BDO LLP,Afghanistan : Phase Three of the Reconstruction Trust Fund Third-Party Monitoring Program,23365000.0
Citibank NA,Global Custodian,21941911.45
Citibank (South Dakota) N.A.,World Bank Group Purchasing Card Program,13000000.0
Abyrint AS,Somalia  Monitoring Agent,12054287.0
Agriteam Canada Consulting Ltd.,Ethiopia Technical Assistance to Strengthen Capacity Development for the Productive Safety Net Programme Phase 4,11600000.0
FLIK Hospitality,Food & Catering and Conference & Hoteling,11250000.0
CMC Investments I Limited,Global Multiprotocol Label Switching (MPLS) Wide Area Network (WAN) Services,10871741.75
